energy,#photons/mAs-sr-keV
1.0,0.0
2.0,5.4806e-10
3.0,96548.0
4.0,7.3709e8
5.0,1.7762e10
6.0,7.1207e10
7.0,1.4153e11
8.0,2.0425e11
9.0,2.5045e11
10.0,2.8076e11
11.0,2.0578e11
12.0,1.9046e11
13.0,1.9359e11
14.0,2.0863e11
15.0,2.19e11
16.0,2.2551e11
17.0,2.2893e11
18.0,2.2996e11
19.0,2.2914e11
20.0,2.2692e11
21.0,2.2366e11
22.0,2.1964e11
23.0,2.1507e11
24.0,2.1012e11
25.0,2.0492e11
26.0,1.9956e11
27.0,1.9412e11
28.0,1.8867e11
29.0,1.8324e11
30.0,1.7787e11
31.0,1.7258e11
32.0,1.674e11
33.0,1.6232e11
34.0,1.5737e11
35.0,1.5256e11
36.0,1.4787e11
37.0,1.4331e11
38.0,1.389e11
39.0,1.3461e11
40.0,1.3046e11
41.0,1.2644e11
42.0,1.2255e11
43.0,1.1878e11
44.0,1.1513e11
45.0,1.116e11
46.0,1.0818e11
47.0,1.0488e11
48.0,1.0168e11
49.0,9.8587e10
50.0,9.5585e10
51.0,9.2683e10
52.0,8.9879e10
53.0,8.7161e10
54.0,8.4529e10
55.0,8.198e10
56.0,7.951e10
57.0,2.1683e11
58.0,7.4801e10
59.0,3.1521e11
60.0,7.0377e10
61.0,6.8267e10
62.0,6.6219e10
63.0,6.4235e10
64.0,6.2308e10
65.0,6.044e10
66.0,5.8626e10
67.0,1.3497e11
68.0,5.5158e10
69.0,7.3985e10
70.0,5.0523e10
71.0,4.9043e10
72.0,4.7602e10
73.0,4.6199e10
74.0,4.4831e10
75.0,4.3499e10
76.0,4.2201e10
77.0,4.0938e10
78.0,3.9706e10
79.0,3.8505e10
80.0,3.7334e10
81.0,3.6194e10
82.0,3.5081e10
83.0,3.3998e10
84.0,3.294e10
85.0,3.1908e10
86.0,3.0903e10
87.0,2.9921e10
88.0,2.8964e10
89.0,2.803e10
90.0,2.7118e10
91.0,2.6229e10
92.0,2.536e10
93.0,2.4512e10
94.0,2.3684e10
95.0,2.2876e10
96.0,2.2086e10
97.0,2.1314e10
98.0,2.056e10
99.0,1.9825e10
100.0,1.9105e10
101.0,1.8402e10
102.0,1.7714e10
103.0,1.7043e10
104.0,1.6386e10
105.0,1.5743e10
106.0,1.5116e10
107.0,1.4501e10
108.0,1.39e10
109.0,1.3313e10
110.0,1.2738e10
111.0,1.2175e10
112.0,1.1623e10
113.0,1.1084e10
114.0,1.0556e10
115.0,1.004e10
116.0,9.5343e9
117.0,9.0384e9
118.0,8.5533e9
119.0,8.078e9
120.0,7.6123e9
121.0,7.1562e9
122.0,6.7092e9
123.0,6.2712e9
124.0,5.842e9
125.0,5.4213e9
126.0,5.0088e9
127.0,4.6044e9
128.0,4.208e9
129.0,3.8192e9
130.0,3.438e9
131.0,3.064e9
132.0,2.6972e9
133.0,2.3374e9
134.0,1.9843e9
135.0,1.6379e9
136.0,1.298e9
137.0,9.6442e8
138.0,6.3693e8
139.0,3.1553e8
140.0,0.0
