energy,#photons/mAs-sr-keV
1.0,0.0
2.0,1.5291e-7
3.0,1.1884e6
4.0,2.0882e9
5.0,2.6885e10
6.0,7.8721e10
7.0,1.3108e11
8.0,1.6964e11
9.0,1.9359e11
10.0,2.0639e11
11.0,1.7505e11
12.0,1.6598e11
13.0,1.6434e11
14.0,1.6719e11
15.0,1.6754e11
16.0,1.6608e11
17.0,1.6334e11
18.0,1.5971e11
19.0,1.5548e11
20.0,1.5086e11
21.0,1.4602e11
22.0,1.4107e11
23.0,1.3608e11
24.0,1.3111e11
25.0,1.2622e11
26.0,1.2141e11
27.0,1.1673e11
28.0,1.1217e11
29.0,1.0776e11
30.0,1.0349e11
31.0,9.9357e10
32.0,9.5368e10
33.0,9.1522e10
34.0,8.7818e10
35.0,8.425e10
36.0,8.0814e10
37.0,7.7506e10
38.0,7.4321e10
39.0,7.1256e10
40.0,6.8305e10
41.0,6.5464e10
42.0,6.2729e10
43.0,6.0095e10
44.0,5.756e10
45.0,5.5116e10
46.0,5.2762e10
47.0,5.0493e10
48.0,4.8307e10
49.0,4.6199e10
50.0,4.4166e10
51.0,4.2205e10
52.0,4.0313e10
53.0,3.8487e10
54.0,3.6725e10
55.0,3.5023e10
56.0,3.338e10
57.0,4.9525e10
58.0,3.0259e10
59.0,5.9574e10
60.0,2.7343e10
61.0,2.5957e10
62.0,2.4617e10
63.0,2.332e10
64.0,2.2065e10
65.0,2.0851e10
66.0,1.9675e10
67.0,2.845e10
68.0,1.7434e10
69.0,1.8966e10
70.0,1.5125e10
71.0,1.4141e10
72.0,1.3187e10
73.0,1.2261e10
74.0,1.1362e10
75.0,1.049e10
76.0,9.6425e9
77.0,8.819e9
78.0,8.0196e9
79.0,7.2429e9
80.0,6.4882e9
81.0,5.7548e9
82.0,5.0419e9
83.0,4.3487e9
84.0,3.6748e9
85.0,3.0195e9
86.0,2.3821e9
87.0,1.7619e9
88.0,1.1586e9
89.0,5.7144e8
90.0,0.0
