energy,#photons/mAs-sr-keV
1.0,0.0
2.0,1.9272e-8
3.0,478920.0
4.0,1.4548e9
5.0,2.3668e10
6.0,7.7948e10
7.0,1.3872e11
8.0,1.8708e11
9.0,2.1944e11
10.0,2.3853e11
11.0,1.9175e11
12.0,1.8032e11
13.0,1.8043e11
14.0,1.8768e11
15.0,1.9151e11
16.0,1.9271e11
17.0,1.9194e11
18.0,1.8973e11
19.0,1.8649e11
20.0,1.8251e11
21.0,1.7802e11
22.0,1.732e11
23.0,1.6819e11
24.0,1.6306e11
25.0,1.5791e11
26.0,1.5277e11
27.0,1.477e11
28.0,1.4271e11
29.0,1.3783e11
30.0,1.3307e11
31.0,1.2844e11
32.0,1.2393e11
33.0,1.1958e11
34.0,1.1536e11
35.0,1.1127e11
36.0,1.0733e11
37.0,1.0352e11
38.0,9.9843e10
39.0,9.6286e10
40.0,9.2861e10
41.0,8.9551e10
42.0,8.6357e10
43.0,8.3276e10
44.0,8.0302e10
45.0,7.7432e10
46.0,7.4662e10
47.0,7.1988e10
48.0,6.9405e10
49.0,6.6912e10
50.0,6.4504e10
51.0,6.2177e10
52.0,5.993e10
53.0,5.7757e10
54.0,5.5657e10
55.0,5.3627e10
56.0,5.1663e10
57.0,1.0511e11
58.0,4.7927e10
59.0,1.4226e11
60.0,4.4428e10
61.0,4.2761e10
62.0,4.1148e10
63.0,3.9586e10
64.0,3.8071e10
65.0,3.6604e10
66.0,3.5181e10
67.0,6.474e10
68.0,3.2466e10
69.0,3.9285e10
70.0,2.9367e10
71.0,2.8186e10
72.0,2.7039e10
73.0,2.5923e10
74.0,2.484e10
75.0,2.3785e10
76.0,2.276e10
77.0,2.1763e10
78.0,2.0793e10
79.0,1.9849e10
80.0,1.893e10
81.0,1.8037e10
82.0,1.7167e10
83.0,1.6321e10
84.0,1.5495e10
85.0,1.4693e10
86.0,1.3911e10
87.0,1.3149e10
88.0,1.2407e10
89.0,1.1683e10
90.0,1.0979e10
91.0,1.0292e10
92.0,9.6223e9
93.0,8.9695e9
94.0,8.3329e9
95.0,7.712e9
96.0,7.1064e9
97.0,6.5157e9
98.0,5.9392e9
99.0,5.3767e9
100.0,4.8278e9
101.0,4.292e9
102.0,3.7688e9
103.0,3.258e9
104.0,2.7593e9
105.0,2.2722e9
106.0,1.7964e9
107.0,1.3316e9
108.0,8.7747e8
109.0,4.337e8
110.0,0.0
