energy,#photons/mAs-sr-keV
1.0,0.0
2.0,9.1604e-7
3.0,2.5364e6
4.0,2.7385e9
5.0,2.8609e10
6.0,7.5349e10
7.0,1.1807e11
8.0,1.4705e11
9.0,1.6349e11
10.0,1.71e11
11.0,1.5179e11
12.0,1.4469e11
13.0,1.4162e11
14.0,1.4095e11
15.0,1.3868e11
16.0,1.3533e11
17.0,1.3128e11
18.0,1.2679e11
19.0,1.2206e11
20.0,1.1721e11
21.0,1.1234e11
22.0,1.0751e11
23.0,1.0277e11
24.0,9.8143e10
25.0,9.3646e10
26.0,8.9295e10
27.0,8.5096e10
28.0,8.105e10
29.0,7.7156e10
30.0,7.3415e10
31.0,6.9821e10
32.0,6.6371e10
33.0,6.3061e10
34.0,5.9883e10
35.0,5.6835e10
36.0,5.3911e10
37.0,5.1105e10
38.0,4.8413e10
39.0,4.5829e10
40.0,4.3348e10
41.0,4.0966e10
42.0,3.8679e10
43.0,3.6481e10
44.0,3.437e10
45.0,3.234e10
46.0,3.0389e10
47.0,2.8513e10
48.0,2.6709e10
49.0,2.4973e10
50.0,2.3302e10
51.0,2.1693e10
52.0,2.0144e10
53.0,1.8651e10
54.0,1.7213e10
55.0,1.5828e10
56.0,1.4493e10
57.0,1.3238e10
58.0,1.1961e10
59.0,1.0821e10
60.0,9.606e9
61.0,8.49e9
62.0,7.412e9
63.0,6.371e9
64.0,5.3654e9
65.0,4.3938e9
66.0,3.4549e9
67.0,2.5656e9
68.0,1.6697e9
69.0,8.2578e8
70.0,0.0
