energy,#photons/mAs-sr-keV
1.0,0.0
2.0,7.039e-6
3.0,5.4935e6
4.0,3.2491e9
5.0,2.6082e10
6.0,5.9827e10
7.0,8.6236e10
8.0,1.0148e11
9.0,1.0812e11
10.0,1.0924e11
11.0,1.0129e11
12.0,9.5949e10
13.0,9.1374e10
14.0,8.7274e10
15.0,8.2685e10
16.0,7.7864e10
17.0,7.2977e10
18.0,6.8128e10
19.0,6.3383e10
20.0,5.8782e10
21.0,5.4349e10
22.0,5.0096e10
23.0,4.6027e10
24.0,4.2142e10
25.0,3.8437e10
26.0,3.4907e10
27.0,3.1547e10
28.0,2.8348e10
29.0,2.5303e10
30.0,2.2405e10
31.0,1.9647e10
32.0,1.702e10
33.0,1.4519e10
34.0,1.2136e10
35.0,9.8657e9
36.0,7.7015e9
37.0,5.6381e9
38.0,3.67e9
39.0,1.7922e9
40.0,0.0
