energy,#photons/mAs-sr-keV
1.0,0.0
2.0,1.5016e-10
3.0,53518.0
4.0,5.6914e8
5.0,1.5793e10
6.0,6.7945e10
7.0,1.4048e11
8.0,2.0768e11
9.0,2.5871e11
10.0,2.9316e11
11.0,2.0779e11
12.0,1.9116e11
13.0,1.9534e11
14.0,2.1316e11
15.0,2.2597e11
16.0,2.3455e11
17.0,2.3968e11
18.0,2.4205e11
19.0,2.423e11
20.0,2.409e11
21.0,2.3825e11
22.0,2.3466e11
23.0,2.3038e11
24.0,2.2561e11
25.0,2.2049e11
26.0,2.1514e11
27.0,2.0966e11
28.0,2.0411e11
29.0,1.9855e11
30.0,1.9302e11
31.0,1.8754e11
32.0,1.8216e11
33.0,1.7687e11
34.0,1.7169e11
35.0,1.6663e11
36.0,1.6171e11
37.0,1.5692e11
38.0,1.5226e11
39.0,1.4774e11
40.0,1.4335e11
41.0,1.3909e11
42.0,1.3496e11
43.0,1.3096e11
44.0,1.2709e11
45.0,1.2333e11
46.0,1.1969e11
47.0,1.1617e11
48.0,1.1276e11
49.0,1.0946e11
50.0,1.0626e11
51.0,1.0316e11
52.0,1.0016e11
53.0,9.726e10
54.0,9.4436e10
55.0,9.1712e10
56.0,8.9068e10
57.0,2.6088e11
58.0,8.402e10
59.0,3.8446e11
60.0,7.9276e10
61.0,7.701e10
62.0,7.4812e10
63.0,7.268e10
64.0,7.061e10
65.0,6.8602e10
66.0,6.6652e10
67.0,1.6224e11
68.0,6.292e10
69.0,8.6705e10
70.0,5.7668e10
71.0,5.6087e10
72.0,5.4547e10
73.0,5.3046e10
74.0,5.1584e10
75.0,5.0158e10
76.0,4.8768e10
77.0,4.7414e10
78.0,4.6093e10
79.0,4.4805e10
80.0,4.3549e10
81.0,4.2324e10
82.0,4.1129e10
83.0,3.9964e10
84.0,3.8828e10
85.0,3.7718e10
86.0,3.6635e10
87.0,3.5579e10
88.0,3.4548e10
89.0,3.3541e10
90.0,3.2559e10
91.0,3.1599e10
92.0,3.0662e10
93.0,2.9747e10
94.0,2.8854e10
95.0,2.7981e10
96.0,2.7128e10
97.0,2.6294e10
98.0,2.5479e10
99.0,2.4684e10
100.0,2.3905e10
101.0,2.3144e10
102.0,2.2401e10
103.0,2.1673e10
104.0,2.0961e10
105.0,2.0266e10
106.0,1.9585e10
107.0,1.8919e10
108.0,1.8268e10
109.0,1.763e10
110.0,1.7006e10
111.0,1.6395e10
112.0,1.5797e10
113.0,1.5211e10
114.0,1.4638e10
115.0,1.4077e10
116.0,1.3526e10
117.0,1.2988e10
118.0,1.246e10
119.0,1.1943e10
120.0,1.1437e10
121.0,1.094e10
122.0,1.0454e10
123.0,9.9765e9
124.0,9.5094e9
125.0,9.0506e9
126.0,8.6011e9
127.0,8.1604e9
128.0,7.728e9
129.0,7.304e9
130.0,6.888e9
131.0,6.48e9
132.0,6.0796e9
133.0,5.6867e9
134.0,5.3012e9
135.0,4.9228e9
136.0,4.5514e9
137.0,4.1867e9
138.0,3.8288e9
139.0,3.4774e9
140.0,3.1323e9
141.0,2.7934e9
142.0,2.4606e9
143.0,2.1336e9
144.0,1.8125e9
145.0,1.497e9
146.0,1.187e9
147.0,8.8246e8
148.0,5.8318e8
149.0,2.8907e8
150.0,0.0
