energy,#photons/mAs-sr-keV
1.0,0.0
2.0,3.8826e-7
3.0,1.7713e6
4.0,2.4208e9
5.0,2.7989e10
6.0,7.7611e10
7.0,1.2528e11
8.0,1.5901e11
9.0,1.7909e11
10.0,1.8912e11
11.0,1.6428e11
12.0,1.5625e11
13.0,1.5386e11
14.0,1.5483e11
15.0,1.5376e11
16.0,1.5126e11
17.0,1.4778e11
18.0,1.4365e11
19.0,1.3912e11
20.0,1.3434e11
21.0,1.2944e11
22.0,1.2452e11
23.0,1.1963e11
24.0,1.1482e11
25.0,1.101e11
26.0,1.0552e11
27.0,1.0106e11
28.0,9.6753e10
29.0,9.2595e10
30.0,8.8582e10
31.0,8.4716e10
32.0,8.0996e10
33.0,7.7417e10
34.0,7.3976e10
35.0,7.0667e10
36.0,6.7487e10
37.0,6.4431e10
38.0,6.1493e10
39.0,5.8669e10
40.0,5.5955e10
41.0,5.3344e10
42.0,5.0835e10
43.0,4.8421e10
44.0,4.6098e10
45.0,4.3863e10
46.0,4.1713e10
47.0,3.9642e10
48.0,3.7648e10
49.0,3.5728e10
50.0,3.3877e10
51.0,3.2094e10
52.0,3.0374e10
53.0,2.8717e10
54.0,2.7118e10
55.0,2.5576e10
56.0,2.4088e10
57.0,2.8442e10
58.0,2.1264e10
59.0,2.9981e10
60.0,1.8632e10
61.0,1.7382e10
62.0,1.6174e10
63.0,1.5006e10
64.0,1.3877e10
65.0,1.2785e10
66.0,1.1729e10
67.0,1.3943e10
68.0,9.7169e9
69.0,9.6084e9
70.0,7.7442e9
71.0,6.859e9
72.0,6.0009e9
73.0,5.1687e9
74.0,4.3617e9
75.0,3.5791e9
76.0,2.8197e9
77.0,2.0829e9
78.0,1.3678e9
79.0,6.738e8
80.0,0.0
