energy,#photons/mAs-sr-keV
1.0,0.0
2.0,5.6147e-8
3.0,767990.0
4.0,1.7612e9
5.0,2.5412e10
6.0,7.8796e10
7.0,1.3554e11
8.0,1.7898e11
9.0,2.0704e11
10.0,2.2286e11
11.0,1.8418e11
12.0,1.7397e11
13.0,1.7317e11
14.0,1.7813e11
15.0,1.8011e11
16.0,1.7988e11
17.0,1.7804e11
18.0,1.7505e11
19.0,1.7125e11
20.0,1.6691e11
21.0,1.622e11
22.0,1.5727e11
23.0,1.5224e11
24.0,1.4717e11
25.0,1.4212e11
26.0,1.3714e11
27.0,1.3225e11
28.0,1.2746e11
29.0,1.228e11
30.0,1.1828e11
31.0,1.1389e11
32.0,1.0965e11
33.0,1.0554e11
34.0,1.0158e11
35.0,9.7747e10
36.0,9.406e10
37.0,9.05e10
38.0,8.7068e10
39.0,8.3759e10
40.0,8.057e10
41.0,7.7497e10
42.0,7.4534e10
43.0,7.1677e10
44.0,6.8924e10
45.0,6.6269e10
46.0,6.3709e10
47.0,6.1239e10
48.0,5.8856e10
49.0,5.6557e10
50.0,5.4338e10
51.0,5.2196e10
52.0,5.0128e10
53.0,4.8131e10
54.0,4.6201e10
55.0,4.4337e10
56.0,4.2535e10
57.0,7.5246e10
58.0,3.9109e10
59.0,9.7315e10
60.0,3.5906e10
61.0,3.4381e10
62.0,3.2906e10
63.0,3.1477e10
64.0,3.0094e10
65.0,2.8755e10
66.0,2.7457e10
67.0,4.546e10
68.0,2.4982e10
69.0,2.8852e10
70.0,2.2297e10
71.0,2.1216e10
72.0,2.0166e10
73.0,1.9145e10
74.0,1.8154e10
75.0,1.7191e10
76.0,1.6255e10
77.0,1.5346e10
78.0,1.4461e10
79.0,1.3602e10
80.0,1.2765e10
81.0,1.1952e10
82.0,1.1161e10
83.0,1.0392e10
84.0,9.6428e9
85.0,8.9138e9
86.0,8.2044e9
87.0,7.5139e9
88.0,6.8415e9
89.0,6.1867e9
90.0,5.5491e9
91.0,4.9278e9
92.0,4.3226e9
93.0,3.7329e9
94.0,3.1581e9
95.0,2.598e9
96.0,2.0519e9
97.0,1.5195e9
98.0,1.0002e9
99.0,4.9391e8
100.0,0.0
