energy,#photons/mAs-sr-keV
1.0,0.0
2.0,1.9868e-6
3.0,3.4669e6
4.0,3.0089e9
5.0,2.86e10
6.0,7.1759e10
7.0,1.093e11
8.0,1.3365e11
9.0,1.4666e11
10.0,1.5187e11
11.0,1.3737e11
12.0,1.3105e11
13.0,1.2741e11
14.0,1.2535e11
15.0,1.221e11
16.0,1.1809e11
17.0,1.1362e11
18.0,1.089e11
19.0,1.0408e11
20.0,9.9248e10
21.0,9.4474e10
22.0,8.9792e10
23.0,8.5241e10
24.0,8.0835e10
25.0,7.6584e10
26.0,7.2493e10
27.0,6.8562e10
28.0,6.4792e10
29.0,6.1176e10
30.0,5.7712e10
31.0,5.4395e10
32.0,5.1219e10
33.0,4.8178e10
34.0,4.5266e10
35.0,4.2478e10
36.0,3.981e10
37.0,3.7252e10
38.0,3.4804e10
39.0,3.2457e10
40.0,3.0207e10
41.0,2.8052e10
42.0,2.5984e10
43.0,2.4e10
44.0,2.2097e10
45.0,2.027e10
46.0,1.8517e10
47.0,1.6833e10
48.0,1.5215e10
49.0,1.366e10
50.0,1.2166e10
51.0,1.0729e10
52.0,9.3471e9
53.0,8.0179e9
54.0,6.7388e9
55.0,5.5075e9
56.0,4.3221e9
57.0,3.1805e9
58.0,2.0808e9
59.0,1.0212e9
60.0,0.0
