energy,#photons/mAs-sr-keV
1.0,0.0
2.0,1.9018e-9
3.0,169660.0
4.0,9.4047e8
5.0,1.9774e10
6.0,7.4049e10
7.0,1.4166e11
8.0,1.997e11
9.0,2.4117e11
10.0,2.6751e11
11.0,2.025e11
12.0,1.8849e11
13.0,1.9058e11
14.0,2.0292e11
15.0,2.1096e11
16.0,2.1552e11
17.0,2.174e11
18.0,2.172e11
19.0,2.1544e11
20.0,2.1252e11
21.0,2.0877e11
22.0,2.0439e11
23.0,1.9961e11
24.0,1.9454e11
25.0,1.893e11
26.0,1.8397e11
27.0,1.7862e11
28.0,1.733e11
29.0,1.6803e11
30.0,1.6284e11
31.0,1.5775e11
32.0,1.5278e11
33.0,1.4794e11
34.0,1.4322e11
35.0,1.3865e11
36.0,1.342e11
37.0,1.299e11
38.0,1.2572e11
39.0,1.2168e11
40.0,1.1777e11
41.0,1.1398e11
42.0,1.1033e11
43.0,1.0679e11
44.0,1.0337e11
45.0,1.0006e11
46.0,9.6863e10
47.0,9.3766e10
48.0,9.0777e10
49.0,8.7885e10
50.0,8.5087e10
51.0,8.2381e10
52.0,7.9764e10
53.0,7.723e10
54.0,7.4779e10
55.0,7.2406e10
56.0,7.0108e10
57.0,1.7609e11
58.0,6.573e10
59.0,2.5158e11
60.0,6.1621e10
61.0,5.9662e10
62.0,5.7762e10
63.0,5.5921e10
64.0,5.4136e10
65.0,5.2404e10
66.0,5.0724e10
67.0,1.0958e11
68.0,4.7512e10
69.0,6.1844e10
70.0,4.344e10
71.0,4.2061e10
72.0,4.0718e10
73.0,3.9411e10
74.0,3.8139e10
75.0,3.6901e10
76.0,3.5694e10
77.0,3.452e10
78.0,3.3376e10
79.0,3.2262e10
80.0,3.1177e10
81.0,3.0119e10
82.0,2.9088e10
83.0,2.8084e10
84.0,2.7106e10
85.0,2.6152e10
86.0,2.522e10
87.0,2.4314e10
88.0,2.3429e10
89.0,2.2567e10
90.0,2.1725e10
91.0,2.0904e10
92.0,2.0102e10
93.0,1.932e10
94.0,1.8557e10
95.0,1.7812e10
96.0,1.7084e10
97.0,1.6375e10
98.0,1.5681e10
99.0,1.5003e10
100.0,1.4342e10
101.0,1.3696e10
102.0,1.3064e10
103.0,1.2447e10
104.0,1.1843e10
105.0,1.1254e10
106.0,1.0677e10
107.0,1.0114e10
108.0,9.5623e9
109.0,9.0238e9
110.0,8.4966e9
111.0,7.9809e9
112.0,7.4764e9
113.0,6.9827e9
114.0,6.4996e9
115.0,6.0268e9
116.0,5.564e9
117.0,5.1109e9
118.0,4.6673e9
119.0,4.233e9
120.0,3.8076e9
121.0,3.391e9
122.0,2.9829e9
123.0,2.583e9
124.0,2.1913e9
125.0,1.8076e9
126.0,1.4314e9
127.0,1.0628e9
128.0,7.0148e8
129.0,3.4727e8
130.0,0.0
