energy,#photons/mAs-sr-keV
1.0,0.0
2.0,3.9342e-6
3.0,4.499e6
4.0,3.1945e9
5.0,2.7818e10
6.0,6.6673e10
7.0,9.8803e10
8.0,1.1859e11
9.0,1.2836e11
10.0,1.3147e11
11.0,1.2074e11
12.0,1.1501e11
13.0,1.1088e11
14.0,1.0768e11
15.0,1.0367e11
16.0,9.9176e10
17.0,9.4442e10
18.0,8.9607e10
19.0,8.4786e10
20.0,8.0041e10
21.0,7.5414e10
22.0,7.0931e10
23.0,6.6608e10
24.0,6.2453e10
25.0,5.8469e10
26.0,5.4653e10
27.0,5.1005e10
28.0,4.7518e10
29.0,4.4186e10
30.0,4.1005e10
31.0,3.7967e10
32.0,3.5066e10
33.0,3.2296e10
34.0,2.965e10
35.0,2.7121e10
36.0,2.4706e10
37.0,2.2396e10
38.0,2.0189e10
39.0,1.8077e10
40.0,1.6057e10
41.0,1.4125e10
42.0,1.2274e10
43.0,1.0502e10
44.0,8.8052e9
45.0,7.1792e9
46.0,5.6207e9
47.0,4.1265e9
48.0,2.6936e9
49.0,1.319e9
50.0,0.0
