energy,#photons/mAs-sr-keV
1.0,0.0
2.0,6.2327e-9
3.0,289420.0
4.0,1.18e9
5.0,2.1764e10
6.0,7.6331e10
7.0,1.4074e11
8.0,1.9399e11
9.0,2.3082e11
10.0,2.5342e11
11.0,1.9783e11
12.0,1.8514e11
13.0,1.8621e11
14.0,1.9595e11
15.0,2.0179e11
16.0,2.0459e11
17.0,2.0506e11
18.0,2.0378e11
19.0,2.0122e11
20.0,1.9772e11
21.0,1.9354e11
22.0,1.8891e11
23.0,1.8397e11
24.0,1.7885e11
25.0,1.7363e11
26.0,1.6837e11
27.0,1.6315e11
28.0,1.5798e11
29.0,1.5289e11
30.0,1.4791e11
31.0,1.4305e11
32.0,1.3831e11
33.0,1.337e11
34.0,1.2923e11
35.0,1.2489e11
36.0,1.207e11
37.0,1.1664e11
38.0,1.1271e11
39.0,1.0891e11
40.0,1.0525e11
41.0,1.017e11
42.0,9.8272e10
43.0,9.4965e10
44.0,9.1766e10
45.0,8.8679e10
46.0,8.5696e10
47.0,8.2814e10
48.0,8.0029e10
49.0,7.7338e10
50.0,7.4737e10
51.0,7.2222e10
52.0,6.9791e10
53.0,6.744e10
54.0,6.5166e10
55.0,6.2967e10
56.0,6.0838e10
57.0,1.3879e11
58.0,5.6784e10
59.0,1.9382e11
60.0,5.2983e10
61.0,5.1172e10
62.0,4.9417e10
63.0,4.7717e10
64.0,4.6069e10
65.0,4.4471e10
66.0,4.2921e10
67.0,8.6149e10
68.0,3.996e10
69.0,5.0279e10
70.0,3.6399e10
71.0,3.5119e10
72.0,3.3874e10
73.0,3.2663e10
74.0,3.1486e10
75.0,3.034e10
76.0,2.9225e10
77.0,2.8139e10
78.0,2.7082e10
79.0,2.6054e10
80.0,2.5053e10
81.0,2.4078e10
82.0,2.3128e10
83.0,2.2202e10
84.0,2.1301e10
85.0,2.0423e10
86.0,1.9567e10
87.0,1.8734e10
88.0,1.7921e10
89.0,1.7128e10
90.0,1.6356e10
91.0,1.5602e10
92.0,1.4867e10
93.0,1.415e10
94.0,1.3451e10
95.0,1.2768e10
96.0,1.2103e10
97.0,1.1452e10
98.0,1.0818e10
99.0,1.0199e10
100.0,9.5932e9
101.0,9.0028e9
102.0,8.4259e9
103.0,7.8624e9
104.0,7.3118e9
105.0,6.7739e9
106.0,6.2482e9
107.0,5.7344e9
108.0,5.2322e9
109.0,4.7413e9
110.0,4.2613e9
111.0,3.7919e9
112.0,3.3328e9
113.0,2.8838e9
114.0,2.4445e9
115.0,2.0148e9
116.0,1.5943e9
117.0,1.1828e9
118.0,7.801e8
119.0,3.8591e8
120.0,0.0
